搜尋TAG,標題,連結
失智症+新手照顧,外出旅遊／過年帶失智長輩出遊 安心玩有技巧,https://health.udn.com/health/story/10697/5242387
失智症+新手照顧,生活照護／一直問失智者「我是誰」、「他是誰」？  6個NG行為別再做了,https://health.udn.com/health/story/10697/5225504
失智症+新手照顧,生活照護／暖暖包當調理包 失智長者誤食鐵砂,https://health.udn.com/health/story/10697/5175065
失智症+新手照顧,失智科技／健康存摺APP再升級  3月起放寬親屬查詢,https://health.udn.com/health/story/121922/3620528
失智症+新手照顧,精神行為／長輩見鬼？該看醫師而非法師,https://health.udn.com/health/story/10697/4431703
失智症+新手照顧,生活照護／失智照護應進階訓練 實作認證,https://health.udn.com/health/story/10697/3581630
失智症+新手照顧,生活照護／失智者易中暑 留意家中長者是否有3項危險因子,https://health.udn.com/health/story/10697/4550162
失智症+新手照顧,生活照護／照顧失智投其所好 70歲爺爺下棋無敵手,https://health.udn.com/health/story/10697/5131152
失智症+新手照顧,溝通技巧／高齡門診最愛問：失智症者跳針問話 溝通有3招,https://health.udn.com/health/story/122289/5122712
失智症+新手照顧,精神行為／陰雨日照少、失智易激躁 醫師建議照顧者這些雨天備案,https://health.udn.com/health/story/10697/5083068
失智症+新手照顧,精神行為／陰雨綿綿 失智者更需正常社交作息,https://health.udn.com/health/story/10697/5079191
失智症+新手照顧,飲食照護／長者咀嚼功能維持正常 有助延緩失智,https://health.udn.com/health/story/10697/4953640
失智症+新手照顧,延緩退化／認知刺激延緩病情 79歲美枝阿姨 「沒時間」失智,https://health.udn.com/health/story/10697/4905584
失智症+新手照顧,生活照護／照顧失智長者 注意生活起居5面向,https://health.udn.com/health/story/10697/4883424
失智症+新手照顧,生活照護／失智者多疑 照顧宜「順勢而為」,https://health.udn.com/health/story/10697/4802781
失智症+新手照顧,失智症新手照顧難題 聯合報與WaCare四堂線上課程解惑,https://health.udn.com/health/story/5692/4741240
失智症+新手照顧,飲食照護／失智患者怎麼吃才安心？ 3準則提升飲食品質,https://health.udn.com/health/story/10697/4599460
失智症+新手照顧,生活照護／保護失智者3招 友善靠你我,https://health.udn.com/health/story/10697/4564494
失智症+新手照顧,生活照護／一周內三失智長者中暑 醫籲家屬應留意三危險因子,https://health.udn.com/health/story/10697/4548517
失智症+新手照顧,延緩退化／長輩怕染疫長期窩在家中 我國失智時鐘速度恐加快,https://health.udn.com/health/story/10697/4530383
失智症+認知功能,2024失智永續論壇／友善餐點、空間改裝 溫暖失智家人,https://health.udn.com/health/story/121922/8402919
失智症+認知功能,2024失智永續論壇／齋藤正彥：不要在失智症者身上追求合理性,https://health.udn.com/health/story/121923/8402794
失智症+認知功能,邊看邊記 看完分享 看電視也能防失智,https://health.udn.com/health/story/121934/8402080
失智症+認知功能,關節問題竟排最後！熟齡族保健最在乎「抗衰老」  抗老撇步公開,https://health.udn.com/health/story/6039/8389926
失智症+認知功能,旋律聲中看見希望！音樂療癒打開失智症家庭的心房,https://health.udn.com/health/story/121934/8377268
失智症+認知功能,記憶衰退是正常老化或失智？醫教你如何分辨及何者可能恢復,https://health.udn.com/health/story/5965/8375381
失智症+認知功能,睡眠中拳打腳踢、大吼大叫是怎麼了？教授揭該如何應對與處置,https://health.udn.com/health/story/5965/8369508
失智症+認知功能,為了在中年保持健康 專家建議50歲後應該多攝取的5種常見食物,https://health.udn.com/health/story/6037/8367693
失智症+認知功能,阻肌肉流失、維持大腦認知…中年的你每周必吃5種高營養食物,https://health.udn.com/health/story/6039/8367749
失智症+認知功能,「健腦小測驗」快速評估你的大腦健康 幫助延緩認知退化、預防失智症,https://health.udn.com/health/story/123539/7315476
失智症+認知功能,吃腦補腦恐增腦中風、血管性失智風險！12種補腦食物一次公開,https://health.udn.com/health/story/6037/8338270
失智症+認知功能,記憶熱蘭遮 失智症協會舉辦成立20周年老照片展,https://health.udn.com/health/story/8118/8336690
失智症+認知功能,邊記動作邊活動 揪團運動促社交、防失智,https://health.udn.com/health/story/10734/8331344
失智症+認知功能,失智症早發現早治療 可延緩退化5至8年,https://health.udn.com/health/story/121923/8329995
失智症+認知功能,【Podcast】Ep18.當父母罹患失智症，身為子女的我該如何面對最熟悉的陌生人？,https://health.udn.com/health/story/123902/8330622
失智症+認知功能,做不到日行萬步沒關係，步速更關鍵！調整走路5動作讓你走得更快,https://health.udn.com/health/story/6033/8323639
失智症+認知功能,預防阿茲海默症的飲食策略　提升神經生長因子的關鍵方法,https://health.udn.com/health/story/10696/8311409
失智症+認知功能,永遠不嫌早！專家建議為了大腦健康 你每天應該做的4件事,https://health.udn.com/health/story/5965/8308248
失智症+認知功能,周末賴床好處多！台大研究：可降低74%失智風險,https://health.udn.com/health/story/5999/8302581
失智症+認知功能,近80歲退休師「忘東忘西」非失智 醫：及早診斷有機會逆轉,https://health.udn.com/health/story/5964/8298296
失智症+認知功能,醫療奉獻獎／翻轉老人癡呆汙名  天主教失智老人基金會帶失智者走進陽光,https://health.udn.com/health/story/6001/8296594
失智症+認知功能,中年過後更要看！想要健康呷百二，70歲是關鍵！醫：及早做到3件事不怕急速衰老,https://health.udn.com/health/story/6039/8225616
失智症+認知功能,別以為2者之間沒關係 最新研究稱3種心臟病可能影響大腦健康,https://health.udn.com/health/story/5977/8290701
失智症+認知功能,年紀越大睡得越少？專家告訴你真正需要的睡眠時間及如何睡好,https://health.udn.com/health/story/5964/8277676
失智症+認知功能,研究發現多攝取類黃酮助降失智症風險，這些食物含量多,https://health.udn.com/health/story/121934/8248218
失智症+認知功能,戒菸、控制三高！相較退化性失智症 血管性失智能從病因預防,https://health.udn.com/health/story/10695/8256072
失智症+認知功能,爸爸失智，媽媽形同沒有伴！該如何為失智家人做照護決定？,https://health.udn.com/health/story/10844/8255622
失智症+認知功能,【Podcast】Ep16. 旅人Talks：獨扛重擔圓滿孝道？三天內吃完一周的藥？26歲肩負照顧責任？從失智旅人看照顧怎麼伴！,https://health.udn.com/health/story/123902/8252171
失智症+認知功能,有家庭要養，罹病了該怎麼辦？年輕型失智症患者如何保住工作？,https://health.udn.com/health/story/10695/8246583
失智症+認知功能,我會失智嗎？台大醫師曾文毅：腦齡老5歲以上就要警覺,https://health.udn.com/health/story/10696/8235752
失智症+認知功能,40歲以上免費健檢省千元，不同年齡層補助次數不一樣！搭「一量表」自測緩失能,https://health.udn.com/health/story/6008/8225614
失智症+認知功能,【Podcast】Ep15.失智症會不會遺傳？可以預測發病年紀、提早預防嗎？博恩爸爸、台大醫師曾文毅的大腦逆齡研究,https://health.udn.com/health/story/123902/8231770
失智症+認知功能,吃櫻桃補鐵、補血其實沒效！專家揭「隱藏4益處」，竟還能改善睡眠品質,https://health.udn.com/health/story/6037/8226623
失智症+認知功能,只是正常老化？預防失智 腦齡檢測提早揪出輕度知能障礙,https://health.udn.com/health/story/10696/8220080
失智症+認知功能,愈早控制愈好！控管14個風險因子 逾半失智症可預防,https://health.udn.com/health/story/10696/8209869
失智症+認知功能,老年憂鬱不是正常老化 年長者陷入憂鬱小心更容易失智,https://health.udn.com/health/story/10695/8207100
失智症+認知功能,地方名人堂【基隆市】長輩多住山坡上 張賢政：「3箭」連結長照資源供在地安老,https://health.udn.com/health/story/124045/8206208
失智症+認知功能,年長者誘發憂鬱症常見3原因！醫：存好「3三本錢」 不怕老了病來磨,https://health.udn.com/health/story/5964/8200102
失智症+認知功能,【Podcast】Ep14. 打造失智居家友善環境 解決長者的空間方向障礙,https://health.udn.com/health/story/123902/8193696
失智症+認知功能,【Podcast】EP.13助你一臂之力！智慧科技如何貼心老後生活？,https://health.udn.com/health/story/123902/8149004
失智症+認知功能,支持失智者和照顧者的多面向介入,https://health.udn.com/health/story/121922/8151814
失智症+認知功能,吃加工紅肉會增加失智症風險，取而代之多吃2類食物助維持大腦健康,https://health.udn.com/health/story/10696/8140877
失智症+認知功能,每天約有200位長者發生車禍意外！台灣道路「三缺」問題，聽聽專家分享該如何解決這問題？,https://health.udn.com/health/story/5999/8114312
失智症+認知功能,薑黃抗氧化、抗發炎 營養師提醒並非人人適合吃,https://health.udn.com/health/story/6034/8081931
失智症+認知功能,副作用、合併症通通來！巴金森病中期病況複雜，與醫師並肩作戰更關鍵,https://health.udn.com/health/story/122253/8075992
失智症+認知功能,【免費報名】青少年失智家屬戲劇治療支持團體,https://health.udn.com/health/story/7755/8053165
失智症+認知功能,【Podcast】EP9.預防人老財散！守護失智者免受金融剝削,https://health.udn.com/health/story/123902/8031108
失智症+認知功能,當醫師成了病患家屬／拾荒、喝罐頭塔飲料…吳佳璇退休教授父失智 家人10多年陪病刻骨銘心,https://health.udn.com/health/story/6001/8029891
失智症+認知功能,促血液循環助防失智症 5穴位保養術改善不利大腦健康危險因子,https://health.udn.com/health/story/10696/8022083
失智症+認知功能,維生素B12是什麼？缺乏會造成心神不寧、心悸？吃素者...3高危險群要當心,https://health.udn.com/health/story/6034/8016427
失智症+認知功能,腦部退化常見的危險因子，你中了幾項？中醫師分享保養穴位,https://health.udn.com/health/story/6035/8014835
失智症+認知功能,病毒肆虐腦霧頻現、壓力山大?提升記憶力1關鍵讓你擁有「腦健康新未來」,https://health.udn.com/health/story/10696/8013435
失智症+認知功能,「人如其食」不只適用身體 5種食物有助改善大腦健康,https://health.udn.com/health/story/6037/7996115
失智症+認知功能,降阿茲海默症風險53% 麥得飲食10項有益和5種有害食物一次看,https://health.udn.com/health/story/10696/7981683
失智症+認知功能,「阿姨，上學囉！」紀錄片 看見失智家庭勇氣,https://health.udn.com/health/story/120650/7979559
失智症+認知功能,3行為恐讓狗狗不快樂又短命！醫提養狗必知注意事項，讓毛孩活得更健康,https://health.udn.com/health/story/123122/7962513
失智症+認知功能,從餐桌找回健康，麥得飲食防失智：營養師分享養腦好料理—地中海紙包魚,https://health.udn.com/health/story/122930/7934616
失智症+認知功能,【Podcast】EP6.生活比吃藥重要！失智者日常活動的聰明安排,https://health.udn.com/health/story/123902/7910423
失智症+認知功能,《不夠善良的我們》林依晨「怎能把媽送進療養院？」失智症照護該學如何放過自己，1件事判斷該不該送！,https://health.udn.com/health/story/120650/7915776
失智症+認知功能,外國研究發現：勃起功能障礙藥物，有機會減少阿茲海默症發生風險！,https://health.udn.com/health/story/5975/7875918
失智症+認知功能,醫病平台／預防失智之我見,https://health.udn.com/health/story/6001/7888942
失智症+認知功能,看不見的巴金森病症狀 三總病友會細談非藥物治療助一臂之力,https://health.udn.com/health/story/122253/7867060
失智症+認知功能,雜物滿屋難斷捨離？醫師曝愛囤積症是種病！嚴重恐會社交和職業功能受損,https://health.udn.com/health/story/6006/7865373
失智症+認知功能,詹鼎正／長者常常忘東忘西，是得了失智症嗎？,https://health.udn.com/health/story/10695/7857800
失智症+認知功能,音樂治療可延緩失智者病情和照顧品質 提高失智者幸福感5方式,https://health.udn.com/health/story/121934/7842085
失智症+認知功能,耳悶、耳鳴是聽力下降前兆 輕忽聽損恐致大腦退化失智,https://health.udn.com/health/story/10696/7837988
失智症+認知功能,銀杏補腦、椰子油防失智？醫師籲亂吃保健食品更危險！4類運動延緩大腦退化,https://health.udn.com/health/story/10696/7806406
失智症+認知功能,山葵有助減緩失智症記憶衰退！研究找來72名健康志願者，發現「這成分」能降低海馬迴發炎,https://health.udn.com/health/story/6037/7779688
失智症+認知功能,失智症也有假的？ 精神科醫師說明常被誤解的「假性失智症」5大特徵,https://health.udn.com/health/story/10695/7777300
失智症+認知功能,對抗大腦認知退化 神經科學家推薦真正有益的健腦活動,https://health.udn.com/health/story/5965/6149357
失智症+認知功能,喝茶有助延緩老化 研究顯示每天喝這麼多抗衰老效果最顯著,https://health.udn.com/health/story/6037/7760312
失智症+認知功能,失智者不愛洗澡？專家：用他愛的事物 誘導進浴室,https://health.udn.com/health/story/10697/7751272
失智症+認知功能,三高失控易造成血管性失智症！預防及延緩失智，日常必做3件事,https://health.udn.com/health/story/10696/7755296
失智症+認知功能,延緩失智這樣做！輕度失智者與照顧者「帶領人」培訓課程　嘉義場2/24開訓,https://health.udn.com/health/story/121920/7747515
失智症+認知功能,不好好刷牙與失智有關嗎？ 陽明交大研究：重度牙周病、缺牙與失智相關，但不能簡化成刷牙能預防失智！,https://health.udn.com/health/story/10696/7743710
失智症+認知功能,春節沒照顧人力，仍可使用長照2.0服務嗎？失智家庭必知年前6準備,https://health.udn.com/health/story/10697/7742230
失智症+認知功能,眼睛從40歲開始老化！醫曝紫外線是視力最大殺手，也是白內障主要原因,https://health.udn.com/health/story/5970/7739920
失智症+認知功能,「5種食物」少碰，起司每周別超過1次！營養師大推「護腦菜單」降失智風險,https://health.udn.com/health/story/10696/7739069
失智症+認知功能,夫妻果真同命鳥？失智症患者伴侶也有高風險 原因竟是「這1點」,https://health.udn.com/health/story/10695/7723717
失智症+認知功能,失智者可以投票嗎？用這招助失智者順利投票還能促進社會參與,https://health.udn.com/health/story/121922/7703349
失智症+認知功能,你的身體正「慢性發炎」嗎？ 不改善恐引發輕度認知障礙（MCI），最終演變成失智！,https://health.udn.com/health/story/10696/7677508
失智症+認知功能,多吃山葵有助加強記憶力可望預防失智症？教授告訴你實情為何,https://health.udn.com/health/story/10696/7676885
失智症+認知功能,長期高劑量補充維生素D增失智風險？醫師2原因說明為何一般人不需恐慌,https://health.udn.com/health/story/6034/7668064
失智症+認知功能,大腦40歲開始老化 醫師教你按圖索驥按摩不同穴位預防失智症,https://health.udn.com/health/story/10696/7663360
失智症+認知功能,從走路姿態和速度就能看出問題 這群人罹患失智症風險高2.5倍,https://health.udn.com/health/story/7392/7659022
失智症+認知功能,我可以帶失智老爸參加婚禮嗎？,https://health.udn.com/health/story/10697/7643541
失智症+認知功能,開始健忘是正常老化還是失智徵兆？醫揭判別基準及改善方法,https://health.udn.com/health/story/10696/7631905
失智症+認知功能,🎧｜失智名醫徐文俊揭多重資源管道，助失智家庭渡難關,https://health.udn.com/health/story/123161/7626755
失智症+認知功能,🎧｜專訪腦庫推手謝松蒼：研究大腦找失智、罕病解方，病患捐大腦造福世人,https://health.udn.com/health/story/123161/7611372
失智症+認知功能,SNQ肯定！關渡醫院失智友善照顧模式 今醫療科技展現成果,https://health.udn.com/health/story/122930/7608288
失智症+認知功能,牙齒越少會影響認知功能 裝假牙或植牙對維持認知有幫助嗎？,https://health.udn.com/health/story/10696/7605669
失智症+認知功能,52歲科技主管拚過頭失智被迫離職！ 透過「職務再設計」重返職場找回人生價值,https://health.udn.com/health/story/5999/7593861
失智症+認知功能,「我可能活到100歲，但有一半機率會失智」劉秀枝退休做好2件事 其餘交給命運,https://health.udn.com/health/story/122933/7590177
失智症+認知功能,2023國際失智照護論壇系列報導／了解失智症 輕度認知障礙有機會逆轉,https://health.udn.com/health/story/121923/7548786
失智症+認知功能,中風後要當心！4步驟揪出躲在中風後遺症下的巴金森病,https://health.udn.com/health/story/122253/7541939
失智症+認知功能,研究指中藥方劑有助改善失智症狀！「一狀況」例外，建議改用針灸、穴位按摩,https://health.udn.com/health/story/6035/7529595
失智症+認知功能,幾歲開始會發現自己老很快？醫師曝3年紀波段是「斷崖式衰老」關鍵，6方法延緩老化,https://health.udn.com/health/story/6039/7531688
失智症+認知功能,《失智照護免費線上課程》失智照護不孤單　照護難題我照你,https://health.udn.com/health/story/8118/7526717
失智症+認知功能,改變飲食習慣為時不晚 中年這樣吃可在幾十年後有益大腦健康,https://health.udn.com/health/story/10696/7528235
失智症+認知功能,兒證實侯孝賢確診阿茲海默症已「回歸家庭」！我是健忘還是失智？權威醫師教檢視6情況,https://health.udn.com/health/story/10695/7528050
失智症+認知功能,只是年紀大記憶力變不好？外媒盛傳侯孝賢因失智症退休 「他不會再導電影」,https://health.udn.com/health/story/5999/7527922
失智症+認知功能,糖尿病控制不佳易失智！麥得飲食、中強度「這些運動」助控血糖,https://health.udn.com/health/story/5974/7522562
失智症+認知功能,大腦已有失智病變，卻仍享有活躍老年可能嗎？名醫曝2個關鍵,https://health.udn.com/health/story/7392/7503427
失智症+認知功能,阿茲海默症臨床診斷新準則 依生物標記分0至6期,https://health.udn.com/health/story/122905/7501584
失智症+認知功能,如何知道自己有肌少症？醫師教自我檢測法，5種相關疾病的預防策略,https://health.udn.com/health/story/5967/7505162
失智症+認知功能,好好走路就不會老！87歲金融退休董座推薦CP值最高銀髮運動，這樣「健走」防失智遠三高,https://health.udn.com/health/story/122930/7499861
失智症+認知功能,與失智症、心血管疾病、糖尿病皆有關 日夜顛倒的生活對健康影響有多大？,https://health.udn.com/health/story/6008/7499531
失智症+認知功能,失智者食不下嚥，該不該插鼻胃管？專家：不是裝上後就無法拿,https://health.udn.com/health/story/10697/7473635
失智症+認知功能,健康的百歲人生並非遙不可及 104歲長輩給名醫的高齡長壽啟示,https://health.udn.com/health/story/7392/7473662
失智症+認知功能,麥得飲食有助防失智怎麼吃？詳解麥得飲食推薦食物及一周菜單,https://health.udn.com/health/story/10696/7473647
失智症+認知功能,動作變慢又幻覺…腦退化疾病分不清？失智症VS.巴金森病差異一次懂,https://health.udn.com/health/story/122253/7471180
失智症+認知功能,覺得家裡有鬼、錢被偷…長輩有幻覺怎麼辦？專家教你如何應對,https://health.udn.com/health/story/10697/7462496
失智症+認知功能,照護失智患者像作戰！讓元氣網 照護百科 幫你解答疑難雜症,https://health.udn.com/health/story/7755/7454496
失智症+認知功能,午睡充電、一天喝兩杯咖啡 專家教你5項強化記憶的生活好習慣,https://health.udn.com/health/story/5965/7454484
失智症+認知功能,基層診所改造2／失智、兒童成長診所精準化 才能走更遠,https://health.udn.com/health/story/122920/7448748
失智症+認知功能,基層診所改造1／著重分眾化、長照 多人診所成趨勢,https://health.udn.com/health/story/122920/7448746
失智症+認知功能,長輩黃昏症候群，「做1件事」有助精神穩定！規律作息降發作頻率,https://health.udn.com/health/story/6631/7446339
失智症+認知功能,課程回顧／趣味活動防失智　活化大腦不無聊,https://health.udn.com/health/story/8118/7431147
失智症+認知功能,白居易樂觀曠達？詠老詩作2特徵透露出他的老年憂鬱,https://health.udn.com/health/story/5964/7424710
失智症+認知功能,受刑人藥酒癮戒斷難持續 出獄再犯率高／圍欄內的醫療4,https://health.udn.com/health/story/122920/7412659
失智症+認知功能,詞彙變少、表達變差可能是失智症…多練繞口令可防失智？,https://health.udn.com/health/story/10696/7414616
失智症+認知功能,今牌人生特色影展　為失智長輩留回憶,https://health.udn.com/health/story/8118/7375987
失智症+認知功能,水喝太少不只大腦變遲鈍  長期身體缺水可能提高失智風險,https://health.udn.com/health/story/10696/7367061
失智症+認知功能,需要存多少錢才能退休時財富自由？名醫曝最容易被漏算的花費,https://health.udn.com/health/story/7392/7363058
失智症+認知功能,因應阿茲海默症2新藥問世 診斷將納「生物標記」更精準用藥,https://health.udn.com/health/story/122905/7346512
失智症+認知功能,別再喝咖啡了，小心記憶力變差？教授破解「腦神經專家」說法,https://health.udn.com/health/story/5965/7338381
失智症+認知功能,這些飲食方式對你和地球健康很不利！5種食物助長壽,https://health.udn.com/health/story/6037/7329075
失智症+認知功能,男中暑後大腦受損竟失智！專家：中暑可預防，5件事必知,https://health.udn.com/health/story/5965/7325912
失智症+認知功能,運動、認知訓練及維他命D，哪個可改善認知障礙？研究這麼說,https://health.udn.com/health/story/10696/7322744
失智症+認知功能,排便不只跟痔瘡有關 研究發現便秘還可能影響大腦老化風險,https://health.udn.com/health/story/10696/7321221
失智症+認知功能,澱粉樣蛋白抗體仍是治療阿茲海默症的關鍵嗎？最新研究這麼說,https://health.udn.com/health/story/10696/7312622
失智症+認知功能,「餘生行天宮會照顧」…失智翁捐行天宮上億房產爆爭議！3道防火牆幫失智家人守住錢,https://health.udn.com/health/story/10699/7127600
失智症+認知功能,不只是治療，理解與接納才是與失智和平共處的方法,https://health.udn.com/health/story/121934/7293616
失智症+認知功能,運動可為衰老的大腦增強腦力 但研究發現少做一事效力恐減弱,https://health.udn.com/health/story/5965/7290527
失智症+認知功能,阿茲海默症新藥「Leqembi」獲美FDA核准！新藥真能延緩退化？有哪些副作用？,https://health.udn.com/health/story/5999/7284858
失智症+認知功能,補腦保健食品怎麼挑？醫籲補充完整營養素 美研究：綜合維他命減緩認知衰退,https://health.udn.com/health/story/5999/7282628
失智症+認知功能,多原型、少加工！我的餐盤+麥得飲食 健腦防失智,https://health.udn.com/health/story/6037/7276063
失智症+認知功能,想讓大腦維持健康？營養重點大公開！醫師教你這樣吃效果最周全,https://health.udn.com/health/story/10696/7268837
失智症+認知功能,全台30萬失智者易遭詐！國健署合作農會友善金融場域護老農荷包,https://health.udn.com/health/story/122905/7250209
失智症+認知功能,降膽固醇的他汀類藥物會致認知下降、記憶混亂嗎？研究這麼說,https://health.udn.com/health/story/6012/7250735
失智症+認知功能,失智後的金錢焦慮：「我這麼老了，身上還沒錢，不是很悲哀嗎？」,https://health.udn.com/health/story/120650/7236881
失智症+認知功能,「薑黃」抗發炎、助減肥！怎麼吃最有效？薑黃食用建議一次看 5禁忌族群避免,https://health.udn.com/health/story/6037/7223449
失智症+認知功能,林志玲淚崩「媽媽不認得我了」！失智症三期別，中期日常生活已需協助,https://health.udn.com/health/story/10695/7217825
失智症+認知功能,中年性生活滿意度不佳別輕忽 研究曝可能增認知功能下降風險,https://health.udn.com/health/story/5975/7216201
失智症+認知功能,改善疲勞只吃維他命B群仍不夠？專家建議多加「一物」可事半功倍！,https://health.udn.com/health/story/6034/7205957
失智症+認知功能,抗焦慮藥物會造成失智嗎？教授詳解抗焦慮藥的功效和副作用,https://health.udn.com/health/story/6012/7202362
失智症+認知功能,當「失智長輩」懷疑家人偷東西、看到不存在的人，怎麼辦？醫傳授4大應對技巧,https://health.udn.com/health/story/120650/7183732
失智症+認知功能,每周吃1次魚、每天2匙橄欖油…從飲食防失智 10類食物助腦部健康,https://health.udn.com/health/story/10696/7165084
失智症+認知功能,輕度認知障礙也能回復到正常 名醫授簡單易行且不花費的方法,https://health.udn.com/health/story/7392/7145144
失智症+認知功能,吃野生藍莓有助改善血管與大腦認知功能！買不到藍莓，這些蔬果也可取代,https://health.udn.com/health/story/6037/7119550
失智症+認知功能,吃銀杏補腦抗失智？多看綠色植物能護眼？醫揭關鍵重點,https://health.udn.com/health/story/6008/7113202
失智症+認知功能,失智12大危險因子，空汙榜上有名！居家做這幾件事改善空品,https://health.udn.com/health/story/10696/7105938
失智症+認知功能,淡大前副校長王高成逝，留遺書「腦部病變智能已失」！醫：高知識份子對失智更敏感,https://health.udn.com/health/story/5999/7092973
失智症+認知功能,世界巴金森日／巴金森病規律用藥 延緩退化,https://health.udn.com/health/story/5965/7089171
失智症+認知功能,不只是靈魂之床！美最新研究：檢測眼睛可早期診斷阿茲海默症,https://health.udn.com/health/story/10696/7056083
失智症+認知功能,無法邊走路同時邊說話？研究稱可能是大腦加速衰老的早期指標,https://health.udn.com/health/story/10696/7047974
失智症+認知功能,大腦老化的雙重麻煩！研究揭同時患2病可能加劇認知功能下降,https://health.udn.com/health/story/10696/7043746
失智症+認知功能,健忘到什麼程度是異常？一表檢測早期失智 高於2分快就醫,https://health.udn.com/health/story/10695/7042464
