疾病,類別,主題,問題,解答連結
巴金森病（帕金森氏症）,非動作障礙,性功能障礙,Q⦁巴金森病會影響性功能嗎？如果因此有性功能障礙，還能恢復以前的狀態嗎？除了吃藥幫助還有什麼方法嗎？,https://health.udn.com/health/care/137/293219
巴金森病（帕金森氏症）,非動作障礙,視覺障礙,Q⦁罹病的我最近看東西變模糊，有時候還會出現重疊影像，這跟巴金森病有關嗎？或者只是單純老化現象？,https://health.udn.com/health/care/137/293220
巴金森病（帕金森氏症）,非動作障礙,口乾,Q⦁最近睡覺會因為口腔太乾，每1至2小時就醒來1次，這是巴金森病症狀嗎？還是藥物副作用？該如何改善？,https://health.udn.com/health/care/137/293221
巴金森病（帕金森氏症）,非動作障礙,胃造口鼻胃管選擇,Q⦁爸爸的病程進入第五期，吞嚥有困難，胃造口和鼻胃管該怎麼選擇？,https://health.udn.com/health/care/137/293222
巴金森病（帕金森氏症）,非動作障礙,餵食建議,Q⦁先生罹病後容易嗆水，服藥、進食都有問題，最近常常嘴合不攏，餵什麼都從嘴角流出來，這也是巴金森病的症狀嗎？如果不想做胃造口或鼻胃管，有什麼餵食建議？,https://health.udn.com/health/care/137/293223
巴金森病（帕金森氏症）,非動作障礙,肉毒桿菌,Q⦁巴金森病4期的父親，吞嚥困難程度已經連口水都吞不下去，請問打肉毒桿菌可以改善嗆咳嗎？,https://health.udn.com/health/care/137/293224
巴金森病（帕金森氏症）,生活起居,睡眠撇步,Q⦁我有難入眠、睡睡醒醒的睡眠障礙困擾，除了用藥之外，還可以做什麼提升睡眠品質呢？,https://health.udn.com/health/care/138/293225
巴金森病（帕金森氏症）,生活起居,睡眠療效,Q⦁媽媽因住院開刀好一陣子睡不安穩，突然陷入近10小時昏睡，甚至沒力氣吃飯…。隔天醒來，迷糊、顫抖情形竟好轉許多，是睡眠讓症狀好轉嗎？,https://health.udn.com/health/care/138/293226
巴金森病（帕金森氏症）,生活起居,便祕,Q⦁我大約罹病後2年開始出現腳底、手掌、舌頭麻的情況，還有便祕問題，醫師說我缺乏多巴胺，加藥看不出效果也無法改善。為什麼巴金森病藥物會導致便祕？如果藥物副作用無可避免，還有什麼方式改善嗎？,https://health.udn.com/health/care/138/293227
巴金森病（帕金森氏症）,生活起居,語言能力復健,Q⦁爸爸罹患巴金森病，從講話含糊到已經不太能說話，都只出聲喊叫，請語言治療師有辦法幫助爸爸恢復語言能力嗎？通常會如何幫助爸爸復健呢？,https://health.udn.com/health/care/138/293228
巴金森病（帕金森氏症）,生活起居,血壓與精神,Q⦁媽媽的血壓在不明原因下，在2小時內急速變化，不知道要吃升血壓還是降血壓藥物，有可能是因為精神不穩定造成血壓急遽變化的嗎？,https://health.udn.com/health/care/138/293229
巴金森病（帕金森氏症）,生活起居,天氣變化,Q⦁冬天溫度驟降，感覺行動上也變得僵硬，稍微一起身就會跌倒。家人原本病情趨穩，但在颱風天時，晚上不睡覺大吼大叫。巴金森病症狀會因為天氣變化而有不同嗎？,https://health.udn.com/health/care/138/293230
巴金森病（帕金森氏症）,生活起居,壓力,Q⦁媽媽是巴金森病初期，最近阿嬤要搬來跟爸媽同住，因阿嬤跟媽媽2人關係緊張，我擔心媽媽的病情會不會因壓力迅速惡化？,https://health.udn.com/health/care/138/293231
巴金森病（帕金森氏症）,生活起居,用藥提醒,Q⦁身為巴友的爸爸需要定期吃藥，但我沒有和他同住，無法確認是否定時吃藥，有什麼讓爸爸不會多吃或少吃藥的好方法嗎？,https://health.udn.com/health/care/138/293232
巴金森病（帕金森氏症）,生活起居,穿脫衣物,Q⦁大姊罹患巴金森病1年多，有時會抱怨生病讓她連換衣服都很辛苦。要怎麼選擇服裝、輔具，讓巴友著裝更便利呢？,https://health.udn.com/health/care/138/293233
巴金森病（帕金森氏症）,生活起居,整理家務,Q⦁媽媽得病後還是堅持要打掃、煮菜，但她因為斷電而跌倒受傷已經不只一次了，我該阻止她繼續做家事嗎？還是有什麼因應的建議嗎？,https://health.udn.com/health/care/138/293234
巴金森病（帕金森氏症）,生活起居,飲食建議,Q⦁巴金森病友有什麼飲食禁忌？有可以減緩巴金森病程的飲食指南嗎？,https://health.udn.com/health/care/138/293235
巴金森病（帕金森氏症）,生活起居,蛋白質與用藥,Q⦁為什麼巴金森病藥物不能飯後馬上吃，還要避開牛奶、起司這些高蛋白飲食？,https://health.udn.com/health/care/138/293236
巴金森病（帕金森氏症）,生活起居,蛋白質補充,Q⦁我吃巴金森病的藥已快8年，最近發現有骨質疏鬆和肌少症要多補充蛋白質，但巴金森病吃藥又要避開高蛋白飲食，巴友該怎麼補充蛋白質？,https://health.udn.com/health/care/138/293237
巴金森病（帕金森氏症）,生活起居,咖啡,Q⦁聽說黑咖啡對控制病情有幫助，母親罹患巴金森病6年，每天煮咖啡給她喝好嗎？,https://health.udn.com/health/care/138/293238
巴金森病（帕金森氏症）,生活起居,維生素,Q⦁維生素D、維生素B群、Q10等營養品可以幫助控制病情嗎？可以自己買綜合維生素吃嗎？,https://health.udn.com/health/care/138/293239
巴金森病（帕金森氏症）,生活起居,生酮飲食,Q⦁最近很熱門的飲食方法生酮飲食，聽說對巴金森病具有療效。請問生酮飲食真的能改善巴金森病嗎？,https://health.udn.com/health/care/138/293240
巴金森病（帕金森氏症）,生活起居,益生菌,Q⦁看報導說腸道是人的第2大腦，兩者隨時連動，那巴友服用益生菌會對病情有幫助嗎？,https://health.udn.com/health/care/138/293241
巴金森病（帕金森氏症）,疾病治療,就醫選擇,Q⦁我想讓家人得到最好的照護，請問該找附近的醫院看神經內科，還是找大醫院的巴金森病權威醫師？,https://health.udn.com/health/care/139/293242
巴金森病（帕金森氏症）,疾病治療,確診用藥,Q⦁家人剛確診罹患巴金森病，但日常生活目前還不受影響，只有輕微手抖，請問目前就得開始吃藥嗎？巴金森病友進入到什麼病程後需要開始用藥？,https://health.udn.com/health/care/139/293243
巴金森病（帕金森氏症）,疾病治療,年輕型巴友用藥策略,Q⦁我41歲時確診巴金森病，是年輕型病友，請問治療方式與老年才罹病的人一樣嗎？我還年輕，能先不吃藥嗎？,https://health.udn.com/health/care/139/293244
巴金森病（帕金森氏症）,疾病治療,定時用藥,Q⦁因工作需要，一定要某個時段發揮藥效，我該如何用藥？可以自行推算並更動服藥時間嗎？,https://health.udn.com/health/care/139/293245
巴金森病（帕金森氏症）,疾病治療,降低藥量,Q⦁父親吃藥2年好轉了很多，是不是可以減低用藥量，或甚至之後不用再吃藥了？,https://health.udn.com/health/care/139/293246
巴金森病（帕金森氏症）,疾病治療,調藥觀察事項,Q⦁確診巴金森病後，常聽到巴友互相提醒要與醫師討論調整用藥。請問巴友平日可以記錄哪些現象或數值，作為醫師評估是否需調整用藥的參考呢？,https://health.udn.com/health/care/139/293247
巴金森病（帕金森氏症）,疾病治療,用藥蜜月期,Q⦁什麼是用藥蜜月期？平均大約持續多久呢？有什麼方法延長用藥蜜月期？,https://health.udn.com/health/care/139/293248
巴金森病（帕金森氏症）,疾病治療,換藥原因,Q⦁回診時醫師換了1種可以延長藥效時間的藥物，這是代表我的用藥量加重了嗎？但很多患病多年的巴友，多年以來都是吃我以前服用的藥物，為什麼他們不用換藥呢？,https://health.udn.com/health/care/139/293249
巴金森病（帕金森氏症）,疾病治療,心情與藥效,Q⦁常感覺服用巴金森病藥物的當下，如果心情比較好，感覺比較有藥效，心情不好時，好像又沒效，請問是真的會有影響嗎？,https://health.udn.com/health/care/139/293250
巴金森病（帕金森氏症）,疾病治療,調藥不順,Q⦁母親吃了2年的巴金森病藥物，一直都有回診與調藥，醫師始終找不到適合她的藥物，服藥後常出現低血壓、沒食慾、沒體力等狀況，該怎麼辦？,https://health.udn.com/health/care/139/293251
巴金森病（帕金森氏症）,疾病治療,安眠藥用藥衝突,Q⦁罹患巴金森病後，我無時無刻都想睡，雖已看過睡眠障礙科，但效果不是很顯著，請問巴金森病友該如何改善睡眠障礙問題？服用安眠藥會與巴金森病藥物衝突嗎？,https://health.udn.com/health/care/139/293252
巴金森病（帕金森氏症）,疾病治療,抗焦慮用藥衝突,Q⦁母親有嚴重的失眠與情緒低落現象，醫師增加了抗焦慮助眠跟血清素回收抑制劑2款身心科藥物後，失眠立刻改善，卻出現記性跟生活自理能力退化的狀況，這是藥物衝突造成的嗎？,https://health.udn.com/health/care/139/293253
巴金森病（帕金森氏症）,疾病治療,針灸,Q⦁想帶罹患巴金森病的媽媽去針灸，中醫療法能幫助減輕症狀嗎？頭暈能用中醫改善嗎？,https://health.udn.com/health/care/139/293254
巴金森病（帕金森氏症）,疾病治療,中西醫藥物並行,Q⦁很多人說要聽醫師囑咐規律吃藥，除了西藥，我同時有服用其它中藥，請問該如何安排2種藥物的服用時間？,https://health.udn.com/health/care/139/293255
巴金森病（帕金森氏症）,疾病治療,安慰劑作用,Q⦁「媽媽來醫院看到醫師後症狀和心情都變好，在家裡真的不是這樣...」為何會這樣呢？我該更常帶媽媽「看」醫師嗎？是否因症狀落差太大而影響醫師開藥和判斷？,https://health.udn.com/health/care/139/293256
巴金森病（帕金森氏症）,疾病治療,新興療法,Q⦁最近有聽過頭孢曲松治療臨床試驗，請問最新研究中的療法，適合參加嗎？該怎麼評估？,https://health.udn.com/health/care/139/293257
巴金森病（帕金森氏症）,疾病治療,重複性經顱磁刺激術(rTMS),Q⦁若憂鬱狀況很嚴重該怎麼改善？建議做重複性經顱磁刺激術rTMS嗎？如果要做，有什麼需要注意的地方呢？,https://health.udn.com/health/care/139/293258
巴金森病（帕金森氏症）,疾病治療,深腦刺激術(DBS)適用對象,"Q⦁我38歲確認罹病，長期吃藥生活嚴重受異動症影響，最近考慮要做深腦刺激術(DeepBrainStimulation,DBS），請問什麼樣的病人適合DBS治療？我該怎麼和醫師討論？",https://health.udn.com/health/care/139/293259
巴金森病（帕金森氏症）,疾病治療,深腦刺激術(DBS)效果,"Q⦁母親做了深腦刺激術(deepbrainstimulation,DBS)後，身體有時會無力，是DBS電刺激不夠強造成的嗎？",https://health.udn.com/health/care/139/293260
巴金森病（帕金森氏症）,疾病治療,醫薩刀,"Q⦁醫師建議做醫薩刀（聚焦超音波）治療手抖，這個手術和深腦刺激術(deepbrainstimulation,DBS)有什麼不同呢？有後遺症嗎？若想做，需注意什麼呢？",https://health.udn.com/health/care/139/293261
巴金森病（帕金森氏症）,常見合併症,精神症狀,Q⦁母親巴金森病15年，一開始幻覺、幻聽以為是藥物副作用，但接著出現想跟陌生人回家，阻止會反抗，覺得別人要害她而攻擊照顧者，甚至拒絕進食等症狀。面對巴金森病合併精神病，我束手無策，到底該怎麼辦呢？,https://health.udn.com/health/care/140/293262
巴金森病（帕金森氏症）,常見合併症,合併失智症,Q⦁巴金森病後期都會併發失智症嗎？有沒有什麼方法可以避免？如果病人因藥物副作用而有幻想、暴怒傾向，該如何處理呢？,https://health.udn.com/health/care/140/293263
巴金森病（帕金森氏症）,常見合併症,症狀與併發症,"Q⦁巴友常見幻覺、情緒低落,我該如何判斷這只是因疾病而產生的症狀,還是已經進展併發精神疾病了？",https://health.udn.com/health/care/140/293264
巴金森病（帕金森氏症）,常見合併症,異動症,Q⦁異動症的症狀跟癲癇一樣嗎？為什麼會發生異動症？,https://health.udn.com/health/care/140/293265
巴金森病（帕金森氏症）,常見合併症,斷電現象,Q⦁罹病8年，最近藥效過了時常全身僵住，而且時間不固定，讓人很困擾，我該怎麼做？,https://health.udn.com/health/care/140/293266
巴金森病（帕金森氏症）,心理調適,面對調藥過程,Q⦁父親為非典型巴金森病，覺得醫師調藥沒有幫助，我該如何和他溝通呢？醫師告知用藥只能控制無法治癒，病人想放棄治療，該怎麼辦？,https://health.udn.com/health/care/141/293267
巴金森病（帕金森氏症）,心理調適,迷信偏方,Q⦁罹病的父親覺得醫師每次看診只有開藥、調藥，沒有提供其它幫助或建議，不再相信醫師，轉信偏方該怎麼辦？,https://health.udn.com/health/care/141/293268
巴金森病（帕金森氏症）,心理調適,說服固定用藥,Q⦁父親因為藥物副作用自行停藥2年半，期間僅接受中藥、推拿等非西醫治療，身體狀況從第2至3期，至今已第4期，該如何說服父親再度用藥，甚至維持固定服藥的習慣？,https://health.udn.com/health/care/141/293269
巴金森病（帕金森氏症）,心理調適,病友心境變化與調適,Q⦁確診初期的媽媽情緒低落，做什麼都沒動力，容易哭，很擔心自己會快速惡化。我該如何幫助媽媽調適心情，陪媽媽面對與病共處的後半輩子呢？,https://health.udn.com/health/care/141/293270
巴金森病（帕金森氏症）,心理調適,照顧者壓力調適,Q⦁白天照顧家人累到不行，還有失眠、經濟壓力等煩惱，照顧者的壓力爆表，有什麼方式可以改善呢？,https://health.udn.com/health/care/141/293271
巴金森病（帕金森氏症）,心理調適,遠方家人支持,Q⦁爸爸是巴金森病合併失智症，還有慢性病，媽媽作為主要照顧者，面對爸爸的各種不配合，已經快撐不下去了，但我在外縣市工作，不能常常支援照顧，我可以怎麼支持媽媽？,https://health.udn.com/health/care/141/293272
巴金森病（帕金森氏症）,心理調適,照顧者支持團體,Q⦁照顧巴友常有許多問題和挫折，請問家屬加入什麼團體能獲得他人的經驗分享、資源情報或是情感支持呢？,https://health.udn.com/health/care/141/293273
巴金森病（帕金森氏症）,照護資源,身障手冊,Q⦁巴友可以申請身障手冊嗎？病情到什麼程度才能申請？身障手冊與長照申請有關嗎？,https://health.udn.com/health/care/142/293274
巴金森病（帕金森氏症）,照護資源,長照服務,Q⦁長照2.0能提供什麼幫助呢？申請麻煩嗎？要如何收費、政府有補助嗎？,https://health.udn.com/health/care/142/293275
巴金森病（帕金森氏症）,照護資源,喘息服務,Q⦁媽媽作為主要照顧者照顧爸爸身心俱疲，又不想讓爸爸去住老人院，有什麼方法可以讓媽媽偶爾能暫時離開照顧身分，有休息的時間？,https://health.udn.com/health/care/142/293276
巴金森病（帕金森氏症）,照護資源,巴氏量表,Q⦁巴氏量表是診斷巴金森病的工具嗎？申請巴氏量表評估可以做什麼？,https://health.udn.com/health/care/142/293277
巴金森病（帕金森氏症）,照護資源,看護申請,Q⦁我想要申請看護，該怎麼申請？需要附上什麼證明嗎？看護能幫我做什麼？,https://health.udn.com/health/care/142/293278
巴金森病（帕金森氏症）,照護資源,看護與安養院比較,Q⦁家裡同時有2位巴金森病友，是分別送安養院及請看護，還是1次請2個看護比較好？,https://health.udn.com/health/care/142/293279
巴金森病（帕金森氏症）,照護資源,履帶式爬梯輪椅,Q⦁爬樓梯機好用嗎？巴金森病友有哪些申請輔具管道呢？,https://health.udn.com/health/care/142/293280
巴金森病（帕金森氏症）,照護資源,助行輔具,Q⦁母親身體僵硬、容易跌倒，外出時拐杖開始不足以應付，但她不願在外用4腳助行器，還有什麼輔具適合呢？哪種情況下可以用有輪助行推車呢？,https://health.udn.com/health/care/142/293281
巴金森病（帕金森氏症）,照護資源,居家改造建議,Q⦁家人罹患巴金森病，請問家中有需要配合調整或改造嗎？病症不同時期會有什麼不同嗎？,https://health.udn.com/health/care/142/293282
巴金森病（帕金森氏症）,照護資源,申請保險,Q⦁除了長照資源以外，有什麼保險會給付巴金森病的治療呢？不同的保險又有哪些給付差異？,https://health.udn.com/health/care/142/293283
巴金森病（帕金森氏症）,照護資源,保險給付,Q⦁剛發現罹患巴金森病，請問要如何看自己的保險會不會給付？我還可以再保其它醫療險或防癌險嗎？,https://health.udn.com/health/care/142/293284
巴金森病（帕金森氏症）,照護資源,地方與學協會資源,Q⦁想得到巴金森病的最新知識，哪裡可以收到講座或課程資訊呢？,https://health.udn.com/health/care/142/293285
失智症,飲食和營養,拒食或亂食,Q⦁失智者常常忘了已經吃過飯，有重複進食的現象且一直吵著要東西吃，該順從他並提供食物嗎？,https://health.udn.com/health/care/129/292608
失智症,飲食和營養,拒食或亂食,Q⦁媽媽會亂翻冰箱裡的東西來吃，不管是什麼東西統統裝下肚，還因此上吐下瀉，該如何避免？,https://health.udn.com/health/care/129/292609
失智症,飲食和營養,拒食或亂食,Q⦁奶奶拒絕吃飯，體重還因此減輕，家人也拿她沒辦法，該強迫失智者進食嗎？怎麼做才正確？,https://health.udn.com/health/care/129/292610
失智症,飲食和營養,拒食或亂食,Q⦁有一次家人看到爺爺將廁所裡的肥皂偷藏起來，不一會兒就往嘴裡塞，該怎麼制止他亂吃東西？,https://health.udn.com/health/care/129/292611
失智症,飲食和營養,喝水與吞嚥,Q⦁為什麼爺爺喝水都會嗆到且不停咳嗽呢？該怎麼協助他比較好？,https://health.udn.com/health/care/129/292612
失智症,飲食和營養,喝水與吞嚥,Q⦁媽媽不愛喝水，常導致泌尿道感染，該用什麼方式讓她多喝水？有其它可以替代水的東西嗎？,https://health.udn.com/health/care/129/292613
失智症,飲食和營養,喝水與吞嚥,Q⦁婆婆吃飯時，常常將食物含在嘴巴，或咬一咬就吐掉，是因為吞嚥困難嗎？,https://health.udn.com/health/care/129/292614
失智症,飲食和營養,喝水與吞嚥,Q⦁怕失智者進食時會有噎到的危險，在食材準備上，需要特別注意什麼問題嗎？,https://health.udn.com/health/care/129/292615
失智症,飲食和營養,喝水與吞嚥,Q⦁媽媽最近吃飯時間越來越長，食物老是含在嘴巴里，又不吞下去，是什麼原因？有什麼方法嗎？,https://health.udn.com/health/care/129/292713
失智症,飲食和營養,用餐環境,Q⦁想鼓勵失智者自行吃飯，該如何挑選餐具？家中一般的碗筷是否可以提供給失智者使用？,https://health.udn.com/health/care/129/292616
失智症,飲食和營養,用餐環境,Q⦁家人喜歡邊看電視邊吃飯，但只要有聲音，失智的婆婆就會突然不吃飯，是環境影響產生不安全感嗎？,https://health.udn.com/health/care/129/292617
失智症,飲食和營養,用餐環境,Q⦁想帶失智爸爸參加家族聚餐，但又深怕會有失控行為，用餐時需注意什麼事情嗎？,https://health.udn.com/health/care/129/292618
失智症,飲食和營養,營養,Q⦁失智者跟一般人一樣一天三餐嗎？每餐的量該準備多少呢？,https://health.udn.com/health/care/129/292619
失智症,飲食和營養,營養,Q⦁家人罹患血管性失智症，飲食需要準備清淡一些嗎？有什麼其它該注意的地方？,https://health.udn.com/health/care/129/292620
失智症,飲食和營養,營養,Q⦁請問除了正餐以外，還需要額外準備營養品給失智長輩嗎？,https://health.udn.com/health/care/129/292621
失智症,飲食和營養,營養,Q⦁請問失智者有特別需要攝取的營養素嗎？有哪些食物富含這些營養素呢？,https://health.udn.com/health/care/129/292622
失智症,飲食和營養,營養,Q⦁我知道「地中海飲食」可以預防失智，但對於已經失智的家人還有用嗎？,https://health.udn.com/health/care/129/292623
失智症,飲食和營養,營養,Q⦁媽媽以前不愛甜食，罹患失智症後卻很嗜甜，失智會造成口味改變？失智者愛吃甜該怎麼應對？,https://health.udn.com/health/care/129/292624
失智症,飲食和營養,營養,Q⦁請問大家都怎麼幫長輩備餐？,https://health.udn.com/health/care/129/292742
失智症,飲食和營養,穿著打扮,Q⦁媽媽每天都會站在衣櫃前挑衣服，一挑就是好幾個小時，也不願接受別人代挑，該怎麼辦才好？,https://health.udn.com/health/care/129/292625
失智症,飲食和營養,穿著打扮,Q⦁公公最近常穿同一件衣褲不願換洗，身上散發濃濃異味，該用何種方式誘導他換衣服？,https://health.udn.com/health/care/129/292626
失智症,穿著和衛生,穿著打扮,Q⦁失智者的衣物到底該依花色還是材質挑選？簡單寬鬆的衣物有助於他自行穿脫嗎？,https://health.udn.com/health/care/130/292627
失智症,穿著和衛生,穿著打扮,Q⦁為什麼爺爺不喜歡穿衣服？總會自行脫掉衣物，但是天氣很冷，很擔心爺爺因此感冒。,https://health.udn.com/health/care/130/292628
失智症,穿著和衛生,穿著打扮,Q⦁母親時常盯著內衣、上衣、褲子，思索要先穿哪件，穿衣順序造成母親困擾，我該如何協助？,https://health.udn.com/health/care/130/292629
失智症,穿著和衛生,穿著打扮,Q⦁失智者不會自行綁鞋帶，常常穿不耐走的拖鞋出門，請問應該挑選什麼樣的鞋子給失智者穿呢？,https://health.udn.com/health/care/130/292630
失智症,穿著和衛生,穿著打扮,Q⦁最近爸爸手受傷，我看他穿衣服不方便想幫他，但是爸爸堅持要自己穿，有什麼方法能幫他嗎？,https://health.udn.com/health/care/130/292711
失智症,穿著和衛生,冷熱知覺,Q⦁天冷時總想幫失智者蓋電熱毯或提供用毛巾裹好的熱水袋，但又深怕燙傷，失智者該如何保暖？,https://health.udn.com/health/care/130/292631
失智症,穿著和衛生,冷熱知覺,Q⦁天氣愈來愈熱，但失智的媽媽卻將毛衣一件件穿上，也不願別人幫她脫去，她感受不到熱嗎？,https://health.udn.com/health/care/130/292632
失智症,穿著和衛生,冷熱知覺,Q⦁夏天該準備什麼樣的衣物給失智者穿比較好？最近先生的身上長了非常多的痱子。,https://health.udn.com/health/care/130/292633
失智症,穿著和衛生,冷熱知覺,Q⦁最近天氣好冷，照顧的長輩常常手腳冰冷，請問大家有沒有推薦的保暖方法？,https://health.udn.com/health/care/130/292716
失智症,穿著和衛生,冷熱知覺,Q⦁天氣變冷，請問大家都怎麼替長輩保暖呢？,https://health.udn.com/health/care/130/292737
失智症,穿著和衛生,外表儀容,Q⦁奶奶很喜歡家人幫她梳頭髮，每次梳完都會很開心，為什麼失智後還會在意自己的外在？,https://health.udn.com/health/care/130/292634
失智症,穿著和衛生,外表儀容,Q⦁每次要幫父親刮鬍子，父親就會拒絕、反抗，要怎麼說服？幫失智者刮鬍子有什麼技巧嗎？,https://health.udn.com/health/care/130/292635
失智症,穿著和衛生,外表儀容,Q⦁奶奶吵著要上美容院燙頭髮，請問失智者能上美容院燙頭髮嗎？會不會出現什麼樣的問題呢？,https://health.udn.com/health/care/130/292636
失智症,穿著和衛生,外表儀容,Q⦁家人想幫阿嬤剪指甲，但阿嬤看到剪刀，以為家人要對她不利，如何讓阿嬤乖乖剪指甲嗎？,https://health.udn.com/health/care/130/292637
失智症,穿著和衛生,洗澡刷牙,Q⦁以前媽媽洗完澡還會噴香水，現在卻變得不修邊幅，請問幫失智者洗澡需要營造特定氛圍嗎？,https://health.udn.com/health/care/130/292638
失智症,穿著和衛生,洗澡刷牙,Q⦁為什麼爸爸這麼抗拒洗澡？每次都要花上好幾個鐘頭，非常耗神與體力，有什麼方式可以改善？,https://health.udn.com/health/care/130/292639
失智症,穿著和衛生,洗澡刷牙,Q⦁請問幫失智者洗澡前需要準備什麼？有洗澡的SOP流程嗎？身體與頭髮是否可以分次洗？,https://health.udn.com/health/care/130/292640
失智症,穿著和衛生,洗澡刷牙,Q⦁失智者洗完澡後皮膚易變得乾燥，請問是清潔用品選錯了嗎？該幫他擦乳液保養嗎？,https://health.udn.com/health/care/130/292641
