vip_id,age,sex,grade,city,cluster（動物種類）,created( 可忽略   ),總分,財務,健康,社交,心靈,獨立,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20
S_001556.d5318d85364,6,1,4,12,5,2025/8/29 08:00,80,75,69.25,80,100,90,1,4,1,2,5,4,4,2,"1,2,3",2,2,"1,2,3,4,5",2,"2,4,5",2,"1,2","1,2,3,4","1,2,3,4,5","1,2,3,4,5","1,2,3,5"
7b81c63a,6,1,5,2,1,2025/8/29 07:56,52,35,69.5,30,80,100,2,2,"3,4",1,2,1,"1,4",2,"1,2",1,"1,2","1,3,5",2,"1,2",1,3,1,"1,3,4,5","1,2,3,4,5","1,2,3,4,5"
wu0988871229,5,2,3,8,5,2025/8/29 07:04,84,70,81.25,90,100,100,1,2,"1,4",2,5,4,"1,4",2,"1,2,3",1,"2,3","2,3,4,5",1,"1,2",1,"1,2,3","1,2,4","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5"
G_109340589932193834,5,2,4,1,5,2025/8/28 22:08,79,70,78,80,80,90,2,2,"1,2,5",3,4,5,"4,5",2,"1,2,3,4",3,"1,2","1,3",1,"1,3,4,5",1,"1,2,3","1,4","1,3,4,5","1,2,3,4,5","1,2,3,4"
angle220403,5,2,3,1,2,2025/8/28 21:25,46,70,44.5,0,40,80,2,3,2,2,5,3,4,3,"2,3",4,2,"3,5",4,"2,4,5",1,4,5,"1,4","1,4,5","1,2,3,4,5"
6ef61d92,4,2,4,3,1,2025/8/28 16:53,61,55,54.25,60,80,90,2,3,"3,4",3,6,5,"1,4,5",2,"1,3,4",4,"1,3","1,3,5",1,2,2,"1,2","2,4","1,3,4,5","1,3,4,5","1,2,3,4,5"
6ef61d92,4,2,4,3,1,2025/8/28 16:52,61,55,54.25,60,80,90,2,3,"3,4",3,6,5,"1,4,5",2,"1,3,4",4,"1,3","1,3,5",1,2,2,"1,2","2,4","1,3,4,5","1,3,4,5","1,2,3,4,5"
2bc1b31c,5,1,3,23,3,2025/8/28 15:11,46,70,49,40,20,40,2,3,1,2,5,3,4,3,5,2,"1,2",3,2,"2,4",1,"1,3",5,4,"2,3","2,4"
94dbfcc4,6,2,4,1,5,2025/8/28 13:01,69,75,56.5,80,100,70,1,3,"1,2",1,5,3,6,2,"1,2",4,"2,3","3,4",1,"1,2,3,5",2,"1,2,3","1,2","1,2,3,4,5","1,3,4","1,2,3,5"
94dbfcc4,6,2,4,1,5,2025/8/28 13:01,69,75,56.5,80,100,70,1,3,"1,2",1,5,3,6,2,"1,2",4,"2,3","3,4",1,"1,2,3,5",2,"1,2,3","1,2","1,2,3,4,5","1,3,4","1,2,3,5"
kimisun1,4,2,5,2,5,2025/8/28 11:30,77,85,67.5,90,100,20,2,3,"3,4",2,4,5,"1,3,4,5",2,"1,2",1,"1,2,3","1,2,3",1,"1,2,4",2,"1,2,3","1,2,4","1,2,3,4,5",1,1
d8efa27b,5,1,4,1,5,2025/8/28 09:26,81,80,78,80,60,100,2,3,"1,2",1,4,4,"1,2,5",3,"1,2,3,4",2,2,"2,3,4",1,"2,4,5",1,"2,3","1,2,3,4","1,3,4","1,2,3,4,5","1,2,3,4,5"
vivianchenweb12,5,2,4,3,5,2025/8/27 19:40,76,80,66.25,90,80,100,2,3,1,2,5,5,"1,2,4,5",3,"1,2,3",4,2,"2,3,4",1,"1,2,4",1,"1,2,3","1,2,4","1,2,3,4","1,2,3,4,5","1,2,3,4,5"
bealylee,4,2,5,6,1,2025/8/27 14:33,62,70,53.25,40,80,80,1,2,"1,2",2,2,5,"4,5",3,"1,3,4",4,"1,3","1,3",1,"2,4,5",2,3,"1,2","1,2,3,4","1,2,4","1,2,3,4,5"
kaobihlin6web51,5,2,5,2,4,2025/8/27 13:45,66,70,60.25,60,60,100,2,3,"2,5",2,5,2,"1,4",2,"1,2,3",2,"1,2","1,2,3",2,"1,2",2,"1,2","1,2","1,4,5","1,2,3,4,5","1,2,3,4,5"
9fbdd38d,4,2,4,1,6,2025/8/27 13:09,63,80,61,30,80,50,2,2,"1,2,5",2,3,3,"1,2,3,4",2,"1,2,3,4",2,2,"3,4",2,"2,4",2,1,2,"1,2,3,4","1,2,3,4",1
62716dc0,6,2,4,6,6,2025/8/27 12:54,53,60,75,40,40,40,1,3,1,2,3,4,"1,4",2,"1,2,3,4",2,"2,3","3,5",1,"1,2,3,4,5",2,1,"1,2","1,2","1,3","1,2"
howhong,7,1,5,14,5,2025/8/27 11:32,90,80,87.5,100,100,100,2,2,4,1,5,5,"1,2,3,4",1,"1,2",1,2,"1,2,3,4,5",2,"1,2,3,4,5",1,"1,2,3","1,2,3,4","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5"
howhong,7,1,5,14,5,2025/8/27 11:32,90,80,87.5,100,100,100,2,2,4,1,5,5,"1,2,3,4",1,"1,2",1,2,"1,2,3,4,5",2,"1,2,3,4,5",1,"1,2,3","1,2,3,4","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5"
9b573b28,6,2,4,2,5,2025/8/27 10:18,70,60,73,80,80,90,1,1,"1,2,5",2,3,4,"1,4,5",3,"1,2,3,4",2,2,"1,3,5",2,"2,3,4",1,"1,2,3","1,2","1,3,4,5","1,2,3,4,5","1,2,3,4"
MADCHILD,4,1,3,1,5,2025/8/27 08:44,89,100,70,90,100,90,2,4,5,2,5,4,"1,2,3,4,5",2,"1,2,3,4",2,2,"1,2,3,4",2,"1,2,4",2,"1,2,3","1,2,3","1,2,3,4,5","1,2,3,4","1,2,3,4,5"
24541fe3,6,1,4,19,1,2025/8/27 08:37,65,85,52.5,40,60,90,2,4,"1,2",2,5,5,"1,4",2,"1,3",5,,"1,3,4",1,"1,2,4",2,3,"1,2","1,3,4","1,2,3,4","1,2,3,4,5"
selerna8,6,2,4,2,1,2025/8/27 08:20,71,80,58.5,60,80,100,2,3,"1,2",2,5,3,"1,4",3,"1,2",1,"1,2","1,2,3,4",2,"2,4",2,"1,2","2,4","1,3,4,5","1,2,3,4,5","1,2,3,4,5"
b41c97fc,3,2,4,1,1,2025/8/27 05:04,51,60,31,60,100,80,2,2,"1,2",2,2,5,6,3,5,3,"2,4",6,1,6,2,"1,2,3",5,"1,2,3,4,5","1,2,3,4,5","1,4,5"
0becdcea,6,2,4,3,5,2025/8/26 23:16,68,75,54.5,80,80,80,2,2,"1,5",2,5,2,"1,4,5",1,"1,2",2,4,"1,3",3,"1,2,4",2,"1,2,3","1,2","2,3,4,5","1,2,3,4,5","3,4,5"
flice66,4,2,4,19,3,2025/8/26 21:29,36,80,16.75,20,20,30,2,2,"1,2",2,5,4,"1,4",4,2,5,,"2,3",4,2,2,1,5,4,5,"3,4"
yulanda888,5,2,4,1,4,2025/8/26 19:24,73,80,66,80,60,100,2,3,"1,2",2,5,5,"1,4",3,"1,2,3,4",2,"1,2,3","1,2,3,4",2,"2,4,5",2,"1,2,3","1,2","1,3,4","1,2,3,4,5","1,2,3,4,5"
key3149,6,1,5,1,5,2025/8/26 17:12,70,50,75.25,80,100,90,2,1,"4,5",1,3,2,"1,3,4",3,"1,2,3",2,2,"2,4,5",2,"1,2,3,4,5",1,"1,2,3","1,2","1,2,3,4,5","1,2,4,5","1,2,3,4,5"
nxuombd,4,2,5,3,6,2025/8/26 16:07,60,75,56.75,40,60,50,2,3,"1,2,5",1,4,2,"1,2,4,5",3,1,3,3,"1,3",1,"1,2",1,1,"1,4","1,2,3","1,3,5","1,5"
jeffrey700328,3,1,4,6,5,2025/8/26 15:33,85,80,76.25,100,100,80,1,3,"1,2",2,4,5,"4,5",3,"1,2,3",3,"1,2,4","2,3,5",1,"1,2,3,4,5",1,"1,2,3","1,2,3,4","1,2,3,4,5","1,2,3,4,5","1,3,4"
G_115046280898233482,2,1,4,2,1,2025/8/26 14:36,69,80,56,60,80,90,1,3,"1,2,5",2,5,3,5,2,5,3,2,"2,3,4,5",1,"2,3,5",3,"1,2,3",5,"1,3,4,5","1,2,3,4","1,2,3,4,5"
a223a4ed,5,1,4,4,1,2025/8/26 11:35,76,70,71.25,50,100,90,1,2,4,2,5,3,"1,4",2,"1,2,3",2,"1,2","1,2,3,4",1,"1,2,3",2,2,"1,2,4","1,2,3,4,5","1,2,4,5","1,2,3,4,5"
alexhsia,4,1,4,3,4,2025/8/26 10:38,70,95,60.5,60,60,60,2,4,"1,2,5",2,5,3,"3,4,5",3,"1,2",1,2,"1,2,3,5",1,5,2,"1,2,3",5,"1,3,4","1,4,5","1,3,4"
tiengon,8,1,5,2,4,2025/8/26 10:19,63,50,65.5,70,80,80,1,4,2,2,6,5,1,1,"1,2",1,"1,2,3","2,3,5",2,"1,3,4",2,"1,2,3",1,"1,2,3,4","1,2,5","1,2,3,4,5"
7a5429b3,5,1,4,1,3,2025/8/26 07:48,46,80,54.25,20,20,20,1,3,"1,2",2,5,5,4,2,"1,2,3",1,2,4,2,2,2,2,5,1,3,3
7a5429b3,5,1,4,1,3,2025/8/26 07:48,46,80,54.25,20,20,20,1,3,"1,2",2,5,5,4,2,"1,2,3",1,2,4,2,2,2,2,5,1,3,3
ce28f1d8,5,1,5,1,3,2025/8/26 06:00,29,50,30,10,20,20,2,3,"1,4",2,6,3,4,2,5,1,2,6,4,2,2,4,4,1,5,4
ccjanewang,4,2,5,1,4,2025/8/25 22:37,53,70,46.5,70,40,70,1,3,"3,4,5",3,4,3,"4,5",3,"1,2",4,"2,3","2,3",1,"1,2",2,"1,2,3",4,"1,2","1,2,3,4,5","1,4"
1be2bd1b,5,1,4,18,5,2025/8/25 21:10,69,75,60.75,70,80,80,2,4,4,1,5,3,2,1,1,2,"1,2,3","1,2,3",1,"2,4",2,"2,3","2,3,4","1,3,4,5","1,2,3,4","2,3,4,5"
2096653,3,1,5,2,1,2025/8/25 17:26,57,40,73.5,50,100,80,1,1,"1,2,5",3,2,3,4,2,"1,2",1,"1,2","1,2,3,4,5",1,"3,4,5",3,3,"1,2,3","1,2,3,4,5","1,3,4","1,2,3,4,5"
moonwiser,7,2,5,2,1,2025/8/25 17:16,43,40,49.5,10,80,70,2,3,4,1,2,2,6,3,"1,3",3,"2,3","1,2,3,4,5",3,"1,2",2,4,1,"1,2,3,4","1,2","1,2,3,4,5"
Nedchang,4,1,4,4,1,2025/8/25 14:36,70,85,63,50,80,80,2,4,"1,2,5",2,4,4,"4,5",3,"1,2,3,4",4,2,"1,3,4",1,"1,2,4,5",2,"1,3",1,"1,2,3,4","1,2,4","1,2,3,4,5"
e2944570,4,2,5,2,3,2025/8/25 12:59,41,50,51.25,40,20,50,2,3,2,2,3,2,5,3,"1,2,3",3,1,3,1,"1,2",2,1,"1,4",4,"1,4","1,4,5"
a22910111a,6,2,4,1,3,2025/8/25 12:33,31,40,24,30,40,50,1,2,2,1,2,2,6,3,5,5,,3,2,3,2,2,1,"1,2",1,"1,2,3,5"
CIRCULATION2021022334563,5,2,4,1,5,2025/8/25 12:23,69,70,57.25,60,100,100,2,3,"1,2",2,5,2,"1,4",2,"1,2,3",4,"1,2","2,3",1,"2,3,5",2,"1,2","1,2","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5"
offline1494726711255,4,2,5,5,1,2025/8/25 11:22,70,75,63,50,100,90,2,2,"3,4",2,4,5,"1,4",3,"1,2,3,4",2,2,"1,3",2,"1,2,4,5",2,"1,3",1,"1,2,3,4,5","1,2,3,4","1,2,3,4,5"
vicky1004,4,2,5,13,4,2025/8/25 10:07,46,35,54.5,50,40,100,2,1,3,1,3,2,4,2,"1,2",3,1,"2,5",1,"1,5",3,"1,3",4,"1,3","1,2,3,4,5","1,2,3,4,5"
CIRCULATION202009307031,4,1,5,10,5,2025/8/25 09:33,77,95,63.25,70,80,100,1,3,"3,4",2,5,3,"1,2,3,4,5",1,"1,2,3",1,"1,2,4",3,2,"2,4,5",2,"2,3","1,2,3","1,2,4,5","1,2,3,4,5","1,2,3,4,5"
c7483f0d,5,2,5,1,5,2025/8/25 08:42,79,70,67.25,80,100,100,2,3,4,1,4,4,"4,5",3,"1,2,3",2,"2,3","1,2,3,4",1,"1,2,3",2,"1,2,3","1,2","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5"
46e52a1e,6,2,3,18,4,2025/8/25 08:30,76,70,71.25,80,60,100,2,2,1,2,5,4,4,1,"1,2,3",1,2,"1,3,5",1,"1,4",2,"1,2,3","1,2","1,2,3","1,2,3,4,5","1,2,3,4,5"
46e52a1e,6,2,3,18,5,2025/8/25 08:23,78,70,71.25,80,80,100,2,2,1,2,5,5,4,1,"1,2,3",1,2,"1,3,5",1,"1,5",2,"1,2,3","1,2","1,2,3,4","1,2,3,4,5","1,2,3,4,5"
6c05735c,7,2,4,2,4,2025/8/24 20:30,61,70,61.5,60,40,70,2,2,"4,5",1,3,4,"1,2",3,"2,3",1,"2,3","1,2,3,5",2,"1,2,3",2,"1,2,3",5,"1,2","2,3,4","1,2,3,4"
nxuombd,3,1,5,3,4,2025/8/24 12:13,75,80,67.25,80,40,90,1,2,"3,4",1,4,4,"1,4,5",3,"1,3,4",3,"2,3","1,3",1,"1,2,3",1,"1,3","1,2,3,4","1,2","1,3,4,5","1,2,3,4,5"
P_j00EWOyY,4,1,4,4,5,2025/8/24 05:16,64,65,48.75,100,100,100,1,3,1,2,4,3,4,2,2,3,2,"3,5",2,"2,4,5",2,"1,2,3","1,2,3,4","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5"
G_104964797612854519,1,2,4,3,5,2025/8/23 22:20,66,65,51,100,100,60,1,4,"1,2,5",2,6,5,4,3,5,1,"1,2,3",3,2,"1,2,3,4,5",3,"1,2,3","1,2,3,4","1,2,3,4,5","1,2,3,4,5",1
reading200,3,2,4,10,5,2025/8/23 22:12,87,80,77,100,100,100,1,4,"1,2,5",2,3,3,"1,4,5",3,"1,2,3,4",3,"1,2","1,2,3",1,"1,2,4,5",1,"1,2,3","1,2,3,4","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5"
3c24bd58,6,2,4,1,5,2025/8/23 21:57,85,90,73.75,80,100,80,1,2,5,1,5,3,"1,3,4,5",2,2,2,"2,3","1,2,3,4",1,"2,3,5",1,"1,2,3","2,4","1,2,3,4,5","1,2,3,4,5","1,2,3"
18a8d1d9,7,2,3,1,5,2025/8/23 20:06,71,80,52.5,80,80,100,1,3,2,2,5,5,"1,2,3,4",2,"1,2",3,1,"1,3",2,"1,2,4",2,"1,2,3","1,2","1,3,4,5","1,2,3,4,5","1,2,3,4,5"
8.65E+11,4,1,4,10,5,2025/8/23 19:56,76,85,59.5,80,100,100,2,3,"1,2",2,5,4,"1,2,4",1,"1,2",2,"2,3","3,4",2,"1,2,4",2,"1,2,3","1,2","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5"
2dee464b,3,2,4,6,1,2025/8/23 19:40,61,55,55,60,80,90,2,1,5,3,3,3,"2,3,4",3,5,2,2,"1,5",2,"2,3,4",1,"1,3","1,2","1,2,3,4","1,2,3,4,5","1,3,4,5"
72a92b6c,5,2,4,2,4,2025/8/23 18:39,79,85,69.75,70,60,100,1,2,"1,2,5",2,5,4,"2,4",1,1,1,"1,2,3","1,2,3,4,5",1,"2,4",2,"1,3","1,2,4","1,2,3","1,2,3,4,5","1,2,3,4,5"
88ad57d0,6,2,4,2,2,2025/8/23 17:26,39,20,70.25,20,20,80,2,1,"1,2,5",2,6,1,1,1,"1,2,3",4,"2,3","2,3,4,5",1,2,1,3,5,4,"2,3,4,5","2,3,4,5"
335789ee,5,1,5,3,1,2025/8/23 16:14,74,70,69.5,60,80,80,2,3,4,1,5,4,"1,4",2,"1,2",2,2,"2,4",2,"2,3,4,5",1,"1,3","1,3","2,3,4,5","2,3,4,5","1,3,4,5"
f1babec1,5,2,5,2,4,2025/8/23 15:30,80,90,74.25,60,60,90,2,3,"1,2",2,5,4,"2,3,4",2,"1,2,3",1,"1,2,3","1,2,3,4",1,"2,4,5",2,"1,3","2,4","1,2,4","1,3,4,5","1,2,3,4,5"
1722de69,8,2,5,4,5,2025/8/23 15:30,86,70,88,90,100,100,2,4,"3,4",1,5,5,6,2,"1,2,3,4",1,"1,2,3","1,2,3,4,5",1,"1,2",1,"1,2,3","1,2,4","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5"
1722de69,8,2,5,4,5,2025/8/23 15:30,86,70,88,90,100,100,2,4,"3,4",1,5,5,6,2,"1,2,3,4",1,"1,2,3","1,2,3,4,5",1,"1,2",1,"1,2,3","1,2,4","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5"
ecbeb0af,4,2,4,2,4,2025/8/23 14:18,62,65,53.5,60,60,90,2,3,5,2,6,5,"3,4",1,"1,2",4,"1,2","1,3,4",1,1,2,"1,3","1,4","2,4,5","1,2,3,4,5","1,3,4,5"
hsin2534,7,2,4,4,5,2025/8/23 13:23,78,65,82.25,90,100,100,1,1,"3,4",1,5,5,"1,4",2,"1,2,3",1,2,"2,3,4,5",2,"1,2,4,5",1,"1,2,3","1,2,4","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5"
G_104773937663611099,5,2,5,1,5,2025/8/23 11:59,82,85,71.25,60,100,90,2,3,"3,4",1,5,5,"2,4",2,"1,2,3",1,1,"1,3,4,5",1,"2,4",2,"2,3","1,2","1,2,3,4,5","1,2,3,4,5","1,2,3,5"
G_104773937663611099,5,2,5,1,5,2025/8/23 11:59,82,85,71.25,60,100,90,2,3,"3,4",1,5,5,"2,4",2,"1,2,3",1,1,"1,3,4,5",1,"2,4",2,"2,3","1,2","1,2,3,4,5","1,2,3,4,5","1,2,3,5"
b6ba04f0,6,2,4,6,2,2025/8/23 10:51,59,70,57,30,40,90,2,2,"1,2,5",2,3,3,"1,4",3,"1,2,3,4",4,2,"1,2,3",1,"2,5",2,1,2,"1,4","1,2,4,5","1,2,3,4,5"
d221517917,3,2,4,1,3,2025/8/23 10:10,36,50,36.5,30,40,30,2,2,"1,2,5",2,2,1,"1,4,5",3,"1,2",5,,"3,5",1,6,2,3,2,"3,4",1,"1,3"
S_000263.339688600e6,4,2,3,10,3,2025/8/23 09:47,39,45,54,30,40,20,1,1,"1,2",2,2,2,"2,4",3,"1,2,3,4",5,,6,1,"2,5",1,1,1,"1,4",5,3
MJCHANG2005,6,2,4,19,5,2025/8/23 09:36,80,80,71.25,60,100,90,2,3,"1,2",2,5,5,"1,4",2,"1,2,3",2,"1,3","1,2,3,4",1,"1,3,4",2,"2,3","2,4","1,2,3,4,5","1,3,4,5","1,2,3,4,5"
candy333candy,5,2,4,2,1,2025/8/23 09:30,69,70,64.75,60,80,100,2,3,"1,2",2,6,5,"2,4,5",1,2,1,"1,2","2,3,4",2,"1,2,4,5",2,"1,2,3",5,"1,3,4,5","1,2,3,4,5","1,2,3,4,5"
37a657a0,4,2,5,2,5,2025/8/23 09:09,92,90,91,90,100,90,2,2,"1,3,4",1,5,4,"1,2,4,5",1,"1,2,3,4",2,"2,3","1,2,3,4,5",1,"1,2,4",1,"1,2,3","1,2,4","1,2,3,4,5","1,2,3,4","1,2,3,4,5"
lishan_gmg,6,2,5,2,6,2025/8/23 09:01,59,70,79.5,50,40,50,1,2,"1,3,4",2,3,5,"1,4",3,"1,3",1,"1,2","1,2,3,4",1,"1,2,3,4",1,3,"2,3,4","2,4","2,3","3,4,5"
lishan_gmg,6,2,5,2,6,2025/8/23 09:01,59,70,79.5,50,40,50,1,2,"1,3,4",2,3,5,"1,4",3,"1,3",1,"1,2","1,2,3,4",1,"1,2,3,4",1,3,"2,3,4","2,4","2,3","3,4,5"
lishan_gmg,6,2,5,2,6,2025/8/23 09:01,59,70,79.5,50,40,50,1,2,"1,3,4",2,3,5,"1,4",3,"1,3",1,"1,2","1,2,3,4",1,"1,2,3,4",1,3,"2,3,4","2,4","2,3","3,4,5"
lishan_gmg,6,2,5,2,6,2025/8/23 09:01,59,70,79.5,50,40,50,1,2,"1,3,4",2,3,5,"1,4",3,"1,3",1,"1,2","1,2,3,4",1,"1,2,3,4",1,3,"2,3,4","2,4","2,3","3,4,5"
S_000325.af042fd5b67,5,2,4,6,4,2025/8/23 08:29,68,90,58.5,60,40,80,1,2,"1,2",2,5,3,"1,3,4,5",2,"1,2",2,"2,3","1,3",1,"2,3",2,"1,2,3",5,"1,3","1,2,4,5","1,2,3,4"
ytimtsai2012,7,1,5,8,5,2025/8/23 08:13,72,75,64.5,70,80,100,2,3,"1,2",2,5,3,1,2,"1,2",1,2,"2,3,4",1,"2,4",2,"1,2","1,2,3","1,3,4,5","1,2,3,4,5","1,2,3,4,5"
4bc446ea,5,2,4,10,2,2025/8/23 08:10,59,75,56.5,30,40,80,2,3,4,1,5,4,"2,4",2,"1,2",1,"1,2","3,4",2,"3,4",2,2,1,"3,4","1,2,3,4","1,2,3,5"
7787acae,5,2,4,2,1,2025/8/23 07:18,72,70,69.5,40,80,80,2,3,4,1,4,3,"1,4,5",2,"1,2",2,"1,3","1,2,3,4",2,"2,4",1,"1,2",5,"1,3,4,5","1,2,3,4","1,2,3,4"
lily611001web86,4,2,4,1,2,2025/8/22 21:05,44,50,49.5,20,60,60,1,1,"1,2,5",2,2,3,"1,4",3,"1,3",4,2,"2,3",1,"1,2,5",3,3,5,"1,3,4","3,4,5","1,3,4"
19b21197,4,2,4,6,6,2025/8/22 18:43,53,80,55.5,40,40,40,2,2,"1,2",2,5,3,"1,4",3,"1,2",5,,"2,3,4",1,"2,3",1,"2,3",5,"4,5","4,5","3,4"
635da740,4,2,4,4,1,2025/8/22 17:33,47,25,60.25,50,80,80,2,1,4,1,6,2,"1,2",2,"1,2,3",4,2,"1,3,4",1,"2,3,4",2,"1,2",1,"1,2,3,4","1,2,3","1,2,3,4,5"
bcaf184f,7,1,4,2,2,2025/8/22 16:09,58,85,67.5,50,20,50,2,2,"1,2",1,5,5,"3,4",1,"1,2",1,"2,4","3,4",1,"1,2,4",2,"2,3",1,1,1,"2,3,4,5"
THREEJMOM,5,2,5,23,6,2025/8/22 14:54,53,90,29.5,60,60,50,2,4,"1,5",2,5,5,"3,4",3,"1,2",5,,3,3,"2,4",2,"2,3","1,2","1,3,4","3,4,5","1,5"
nilsonnee,7,1,5,11,1,2025/8/22 13:05,71,65,76.25,50,100,90,2,3,"1,2,5",2,2,4,3,1,"1,2,3",4,2,"1,3,4,5",1,"1,2,4",1,2,"1,2,4","1,2,3,4,5","1,2,3,4,5","1,3,4,5"
e49ae56e,5,2,4,4,4,2025/8/22 12:22,71,90,64,70,80,50,2,4,"1,5",2,5,4,"1,4,5",2,"1,2,3,4",2,"1,2","1,2,3,4",2,2,2,"1,2,3",3,"1,3,4,5","3,4,5","1,5"
0f737656,5,2,5,14,3,2025/8/22 11:30,48,70,59.5,60,20,10,1,3,"3,4",2,2,2,"1,2,3,4,5",3,"1,2",3,2,"3,4,5",1,"1,2,4,5",2,"1,2,3",5,5,6,2
irenelee2019,4,2,4,1,1,2025/8/22 11:18,67,90,57,40,60,80,2,4,"1,2",2,5,4,"1,4,5",2,"1,2,3,4",5,,"3,4",1,"2,4,5",2,"1,3",5,"1,3,4","1,2,3,4","1,2,3,4"
sericvivian,4,2,4,6,5,2025/8/22 09:35,63,65,49.75,90,100,100,1,4,"1,3,4",2,6,3,4,2,2,4,"2,3","1,2,3",1,"1,2",3,"1,2,3","1,2,4","1,2,3,4,5","1,2,3,4,5","1,2,3,4,5"
